playa,pueblo_magico,entretenimiento,restaurantes,camping,paseos,zona_arq,deportes
Bahia Tortugas,Todos Santos,Museo de Historia de la Mineria,Carlito's Place,Rancho Santa Rita,Loreto,Sierra de San Francisco,Tirolinas Monstruo
Bahia Asuncion,Loreto,Museo de Arte de Baja California Sur,Flora's Field Kitchen,Punta Arena de la Ventana,Reserva de la Biosfera Sierra La Laguna,,Jeep Tour a Santiago desde Los Cabos
Bahia San Hipolito,,Museo Regional de Antropolog’a e Historia de Baja California Sur,Jazamango,El Requeson,Sierra de la Giganta,,
Puerto San Carlos,,Museo de Historia Natural de Cabo San Lucas,Seared,Las cruces,Cueva La Pintada,,
Punta Lobos,,,,Ca–on San Bernardo,Mulege,,
Cabo San Lucas,,,,,,,
El Arco,,,,,,,
La Paz,,,,,,,
Punta Coyote,,,,,,,
Caleta San Lucas,,,,,,,
