pueblo_magico,entretenimiento,restaurantes,camping,paseos,zona_arq,deportes,
Creel,Museo Benito Juarez,La cabaña Smokehouse,Barrancas del cobre,Dunas de Samalayuca,Cuarenta Casas,"Escalada, Peña El Gigante",
Batopilas,Museo de las Culturas del Norte ,Rincon del Caju,Parque Nacional Cumbres de Majalca,El Chepe,Cueva Grande,"Tirolesa, Parque La Ventura",
Casas grandes,Museo Casa de Juarez,Peperoncino,Cascada de Basaseachi,Grutas de Nombre de Dios,Cueva de la Olla,"Salto Libre, Basaseachi",
,Museo Histórico de la Revolucion Mexicana,Las Faenas,Rancho La Manga,Barrancas del Cobre,Huapoca,Rifting Rio Bravo,
,Museo de Paleontologia,El señor Camaron,Lago de Arareko,Catedral de Chihuahua,Paquime,Eco Aventuras Trepa Changa,
,Museo Raices de Satevo,Akari,Cabañas Noritari,Plaza de Armas,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
