pueblo_magico,entretenimiento,restaurantes,camping,paseos,zona_arq,deportes,
Parras de la fuente,Museo Cultural de Arteaga,Las Quesabrosas,Maderas del Carmen,Parras de la Fuente,,Sandboarding,
Cuatro cienegas,Museo de las Momias de San Antonio de las Alazanas,EL Pueblito Ok Maguey,Parque Nacional Los Novillos,Candela,,Cañonismo,
Arteaga,Museo Casa Venustiano Carranza,Rincon del Bife,Sierra de Zapaliname,Dunas de Bilbao,,Extrematour Adventure Travel,
Viesca,Museo de Ocampo,La Ballena Feliz,Teotepec,Rincón Colorado,,Raft Mexico,
Candela,Museo del Vino. Casa Madero,Barricas de Casa Madero,El Milagro,Muzquiz,,,
Guerrero,Museo de la Katrina,,Cuatrociénegas,,,,
,Museo de la Muñeca,,,,,,
,Museo del Ferrocarril,,,,,,
,,,,,,,
,,,,,,,
