playa,pueblo_magico,entretenimiento,restaurantes,camping,paseos,zona_arq,deportes
,Santiago,Museo de Antropologia e Historia de Allende,Zarate,Aldea Matacanes,Linares,Boca de Potrerillos,Gaia Xtreme Tours
,Linares,Museo de las Cosas Simples,Santa Barbara,Cabañas Mesa del Oso,Hacienda de Guadalupe,,IBO Adventures
,,Museo El Ojo,Cabo Grill,Parque El Manzano,Cañon de la Huasteca,,"Rappel, Pozo del Gavilan"
,,Museo de Linares,Casa Grande,Geo Aventura Resort,Grutas de Bustamante,,"Via Ferrata, Sierra de la Huasteca"
,,Museo Bernabe de las Casas ,The Fod Box,Antiguo Aserradero,Cañon del Chipitin,,Cañon del Calabozo
,,Museo Metropolitano de Monterrey,,Paraje Turístico Sabinal,Cerro de la Silla,,
,,Museo del Noreste (MUNE),,,,,
,,Papalote Museo del Niño Monterrey,,,,,
,,,,,,,
,,,,,,,
