playa,pueblo_magico,entretenimiento,restaurantes,camping,paseos,zona_arq,deportes
Playa Bagdal,Mier,Museo Regional de Antropologia e Historia de Aldama,La Laguna,Rancho el Sendero,Biosfera del Cielo,Balcon de Montezuma,Xtreme MX Tampico
Puerto Mezquital,Tula,Independencia e Hidalgo,Laredo's Parrillita,Jaumave,Aldama,El Sabinito,Ca–on de la Servilleta
Laguna Madre,,Museo de Antropologia e Historia Profr. Policarpo Castillo Almaz‡n,El Rincon de Jose Alfredo,Campamento El Angel,Parque Cultural Reynosa,Las Flores,Kabul Gotcha
La Carbonera,,Museo Casamata de Historia Regional,Las Viandas,Los Troncones,Rancho El Amanecer,,"Buceo, Cueva el Nacimiento"
La Pesca,,Museo Rigo Tovar,La Marisquer’a Mahi Mahi,,Sugar Lake,,"Rafting, Llera"
Tepehuajes,,Barco Museo del Ni–o,,,,,"Rappel, Los Troncones"
Miramar,,Planetario Dr. Ramiro Iglesias Leal,,,,,
Barrancon,,"Liberaci—n de Tortugas, Santuario Playa de Rancho Nuevo",,,,,
,,,,,,,
,,,,,,,
